Publication,Location,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,Comments
Akron Beacon Journal,"Akron, OH",Carter,Mondale,Bush,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Albany Times Union,"Albany, NY",Reagan,Reagan,Bush,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Albuquerque Journal,"Albuquerque, NM",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,None,
Allentown Morning Call,"Allentown, PA",Unknown,Unknown,Bush,Clinton,Clinton,Bush,Kerry,None,None,Unknown,
Arizona Daily Star,"Tucson, AZ",Carter,Mondale,Unknown,Clinton,Clinton,Gore,Kerry,Obama,Obama,None,
Arizona Republic,"Phoenix, AZ",Reagan,Reagan,Reagan,Bush,Dole,Bush,Bush,McCain,Romney,Clinton,
Arkansas Democrat-Gazette,"Little Rock, AR",Unknown/Carter,Reagan/Mondale,Bush/Dukakis,None,None,Bush,Bush,McCain,Romney,None,"Arkansas Democrat Endorsement/Arkansas Gazette Endorsement (1980-1996), Non-Endorsement of Clinton (1992-1996)"
Asbury Park Press,"Neptune, NJ",Reagan,Reagan,Bush,Clinton,Clinton,Bush,Bush,Obama,Obama,Clinton,
Atlanta Journal-Constitution,"Atlanta, GA",Carter,Reagan/Mondale,Bush/Dukakis,Bush/Clinton,Dole/Clinton,Bush/Gore,Kerry,Obama,None,Unknown,Atlanta Journal Endorsement/Atlanta Constitution Endorsement (1980-2000)
Austin American-Statesman,"Austin, TX",Anderson,Mondale,Dukakis,Clinton,Clinton,Bush,Bush,Obama,None,None,
Baltimore Sun,"Baltimore, MD",Carter,None,None,None,None,Gore,Kerry,Obama,Obama,Clinton,
Baton Rouge Advocate,"Baton Rouge, LA",Reagan,Reagan,Bush,None,None,None,None,None,None,Unknown,Baton Rouge Advocate Policy of No Candidate Endorsement (1992)
Bergen Record,"Hackensack, NJ",Unknown,Mondale,Bush,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Birmingham News,"Birmingham, AL",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,None,Clinton,Alabama Media Group Endorsement (2016)
Boston Globe,"Boston, MA",Anderson,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Boston Herald,"Boston, MA",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,None,
Buffalo News,"Buffalo, NY",Unknown,Unknown,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Charleston Post and Courier,"Charleston, SC",Reagan,Reagan,Unknown/Bush,None,Dole,Bush,Bush,McCain,Romney,Johnson,Charleston News and Courier Endorsement/Charleston Evening Post Endorsement (1980-1988)
Charlotte Observer,"Charlotte, NC",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Chattanooga Times Free Press,"Chattanooga, TN",Carter/Reagan,Mondale/Reagan,Dukakis/Bush,Clinton/Bush,Clinton/Dole,Gore/Bush,Kerry/Bush,Obama/McCain,Obama/Johnson,Unknown/None,Chattanooga Times Editorial Board Endorsement/Chattanooga Free Press Editorial Board Endorsement (1980-2016)
Chicago Sun-Times,"Chicago, IL",Carter,Reagan,Bush,Clinton,Clinton,Bush,Kerry,Obama,None,Clinton,
Chicago Tribune,"Chicago, IL",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,Obama,Obama,Johnson,
Cincinnati Enquirer,"Cincinnati, OH",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,Clinton,
Cleveland Plain Dealer,"Cleveland, OH",Reagan,Reagan,Bush,Clinton,Clinton,Bush,None,Obama,Obama,Clinton,Northeast Ohio Media Group Endorsement (2016)
Columbus Dispatch,"Columbus, OH",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,Clinton,
Contra Costa Times,"San Francisco, CA",Unknown,Reagan,Unknown,Clinton,Clinton,Bush,Kerry,Obama,Obama,Unknown,
Daily Herald (Illinois),"Chicago, IL",Carter,Reagan,Bush,None,Dole,Bush,Kerry,Obama,Romney,Clinton,
Dallas Morning News,"Dallas, TX",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,Clinton,
Dayton Daily News,"Dayton, OH",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,None,Unknown,
Daytona Beach News-Journal,"Daytona Beach, FL",Carter,Mondale,Bush,Clinton,Clinton,Gore,Kerry,Obama,None,Unknown,Daytona Morning Journal/Daytona Evening News Joint Endorsement (1980-1984)
Denver Post,"Denver, CO",None,Reagan,Bush,Clinton,Clinton,Gore,Bush,Obama,Obama,Clinton,
Des Moines Register,"Des Moines, IA",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Romney,Clinton,
Detroit Free Press,"Detroit, MI",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Detroit News,"Detroit, MI",Reagan,Reagan,Bush,Bush,Dole,Bush,None,McCain,Romney,Johnson,
Florida Times-Union,"Jacksonville, FL",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,None,Romney,Trump,
Fort Worth Star-Telegram,"Fort Worth, TX",Reagan,Reagan,Bush,Clinton,Dole,Bush,Bush,Obama,Romney,Not Trump,
Fresno Bee,"Fresno, CA",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Grand Rapids Press,"Grand Rapids, MI",Carter,Reagan,Bush,Clinton,Dole,Bush,Bush,McCain,Romney,Clinton,MLive Editorial Board Endorsement (2016)
Greensboro News & Record,"Greensboro, NC",Unknown/Reagan,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,None,None,Clinton,
Hartford Courant,"Hartford, CT",Anderson,Reagan,Bush,Clinton,Clinton,Bush,Bush,Obama,Obama,Clinton,
Honolulu Star-Advertiser,"Honolulu, HI",Reagan/Carter,Reagan/Unknown,Dukakis/Unknown,Clinton/None,Clinton,Gore,Kerry,Obama/None,Obama,Clinton,Honolulu Star-Bulletin Endorsement/Honolulu Advertiser Endorsement (1980-2008)
Houston Chronicle,"Houston, TX",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,Obama,Romney,Clinton,
Indianapolis Star,"Indianapolis, IN",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,None,None,Unknown,
Investor’s Business Daily,USA,,,,,,Bush,Bush,McCain,Romney,,
Jackson Clarion-Ledger,"Jackson, MS",Reagan,Reagan,Bush,Clinton,Dole,Gore,Bush,Obama,Unknown,Unknown,
Kansas City Star,"Kansas City, KS",Carter,Reagan,Dukakis,Clinton,Dole,Gore,Kerry,Obama,Obama,Clinton,
Knoxville News Sentinel,"Knoxville, TN",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,None,Unknown,
La Opinión,"Los Angeles, CA",,,Dukakis,,Clinton,Gore,Kerry,Obama,Obama,,
Las Vegas Review-Journal,"Las Vegas, NV",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,Trump,
Lexington Herald-Leader,"Lexington, KY",Reagan,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Lexington Herald Endorsement/Lexington Leader Endorsement (1980)
Los Angeles Daily News,"Los Angeles, CA",Unknown,Reagan,Bush,Unknown,Dole,Bush,Kerry,Obama,Romney,Unknown,
Los Angeles Times,"Los Angeles, CA",None,None,None,None,None,None,None,Obama,Obama,Clinton,
Louisville Courier-Journal,"Louisville, KY",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Memphis Commercial Appeal,"Memphis, TN",Reagan,Reagan,Bush,Bush,Dole,Bush,Kerry,Obama,None,Clinton,
Miami Herald,"Miami, FL",Anderson,Reagan,Bush,None,None,Gore,Kerry,Obama,Obama,Clinton,
Milwaukee Journal Sentinel,"Milwaukee, WI",Carter/Reagan,Mondale/Reagan,Dukakis/Bush,Clinton/Bush,Dole,None,Kerry,Obama,None,Not Trump,Milwaukee Journal Endorsement/Milwaukee Sentinel Endorsement (1980-1992)
Minneapolis Star Tribune,"Minneapolis, MN",Other/Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Minneapolis Tribune Endorsement/Minneapolis Star Editorial Board Endorsement (1980)
Modesto Bee,"Modesto, CA",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,None,Clinton,
New Orleans Times-Picayune,"New Orleans, LA",None,Reagan,Bush,Bush,None,Bush,None,Obama,None,Clinton,
New York Daily News,"New York City, NY",Reagan,Reagan,Bush,Clinton,Clinton,Gore,Bush,Obama,Romney,Clinton,
New York Post,"New York City, NY",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,Unknown,
New York Times,"New York City, NY",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Newark Star-Ledger,"Newark, NJ",Carter,Reagan,Bush,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Newsday (New York),"New York City, NY",None,None,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Romney,Clinton,
Norfolk Virginian-Pilot,"Norfolk, VA",Reagan,Reagan,Bush,Clinton,Clinton,Gore,Kerry,None,None,Unknown,
Northwest Indiana Times,"Munster, IN",Reagan,Mondale,Bush,Bush,Dole,Bush,Kerry,McCain,Romney,None,
Oklahoman,"Oklahoma City, OK",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,None,"Oklahoman Endorsement of Republican Congressional Candidates, No Presidential Candidate Endorsement (2016)"
Omaha World-Herald,"Omaha, OK",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,Clinton,
Orange County Register,"Santa Ana, CA",None,None,None,None,None,None,None,None,None,None,Orange Country Register Editorial with Recommendation Bush Not Run for Reelection (Not True “Anti-Endorsement”) 
Oregonian,"Portland, OR",Reagan,Reagan,Bush,Clinton,Clinton,Bush,Kerry,Obama,None,None,
Orlando Sentinel,"Orlando, FL",None,Reagan,Bush,Bush,Dole,Bush,Kerry,Obama,Romney,Clinton,
Palm Beach Post,"Palm Beach, FL",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,None,Unknown,
Philadelphia Daily News,"Philadelphia, PA",,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,,
Philadelphia Inquirer,"Philadelphia, PA",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Pittsburgh Post-Gazette,"Pittsburgh, PA",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,None,
Pittsburgh Tribune-Review,"Pittsburgh, PA",,,,,,Bush,Bush,McCain,Romney,,
Providence Journal,"Providence, RI",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,Obama,Obama,Clinton,
Raleigh News & Observer,"Raleigh, NC",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Richmond Times-Dispatch,"Richmond, VA",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,Johnson,
Riverside Press-Enterprise,"Riverside, CA",Unknown,Mondale,Dukakis,Clinton,Clinton,Bush,Bush,McCain,Romney,Unknown,
Rochester Democrat & Chronicle,"Rochester, NY",None,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Rochester Democrat & Chronicle and Rochester Times-Union Joint Endorsement (1988)
Sacramento Bee,"Sacramento, CA",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Salt Lake Tribune,"Salt Lake City, UT",None,None,None,None,None,None,Bush,Obama,Obama,Clinton,
San Antonio Express-News,"San Antonio, TX",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Obama,Clinton,
San Diego Union Tribune,"San Diego, CA",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,Clinton,San Diego Union Endorsement/San Diego Tribune Endorsement (1980-1988)
San Francisco Chronicle,"San Francisco, CA",Reagan,Reagan,Bush,Bush,Clinton,Gore,Kerry,Obama,Obama,Clinton,
San Jose Mercury News,"San Jose, CA",Anderson,None,None,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Sarasota Herald-Tribune,"Sarasota, FL",Reagan,Reagan,Bush,Clinton,Clinton,Gore,Kerry,Obama,None,Unknown,
Seattle Post-Intelligencer,"Seattle, WA",Anderson,Reagan,Bush,Clinton,Clinton,Gore,Kerry,Obama,,,
Seattle Times,"Seattle, WA",Reagan,Reagan,Dukakis,Clinton,Clinton,Bush,Kerry,Obama,Obama,Clinton,
South Florida Sun-Sentinel,"Fort Lauderdale, FL",Reagan,Reagan,Bush,Bush,Clinton,Gore,Kerry,Obama,Romney,Clinton,
Spokane Spokesman-Review,"Spokane, WA",Reagan,Reagan,Bush,Clinton,Dole,Bush,Bush,McCain,Romney,Clinton,
St. Louis Post-Dispatch,"St. Louis, IL",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
St. Paul Pioneer Press,"St. Paul, MN",None,Mondale,None,Clinton,Clinton,Bush,Bush,None,None,Unknown,
State (Columbia),"Columbia, SC",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,None,Clinton,
Syracuse Post-Standard,"Syracuse, NY",Reagan/Unknown,Reagan,Bush,Perot,Clinton,Bush,None,Obama,None,Clinton,Syracuse Media Group Endorsement (2016)
Tacoma News Tribune,"Tacoma, WA",Reagan,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,
Tampa Bay Times,"St. Petersburg, FL",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,St. Petersburg Times Endorsement (1980-2008)
Tampa Tribune,"Tampa, FL",Reagan,Reagan,Bush,Bush,Dole,Bush,None,McCain,Romney,,
Tennessean,"Nashville, TN",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Romney,None,
Toledo Blade,"Toledo, OH",Reagan,Reagan,Bush,Clinton,Clinton,Gore,Kerry,Obama,Obama,None,
Tulsa World,"Tulsa, OK",Reagan,Reagan,Bush,Bush,Dole,Bush,Bush,McCain,Romney,None,
USA Today,USA,None,None,None,None,None,None,None,None,None,Not Trump,
Wall Street Journal,"New York City, NY",None,None,None,None,None,None,None,None,None,Unknown,
Washington Post,"Washington, DC",Carter,Mondale,None,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Washington Post Anti-Endorsement of Trump (2016)
Wichita Eagle,"Wichita, KS",Reagan,Reagan,Dukakis,Clinton,Dole,Bush,Bush,None,None,Unknown,
Wilmington News Journal,"Wilmington, OH",Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Wilmington News Journal Endorsement in Joint Sunday News Journal (1984-1988)
Wisconsin State Journal,"Madison, WI",Reagan,Reagan,Bush,Clinton,Dole,Bush,Bush,Obama,Romney,Clinton,
